Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
AF,52,151,140,63,
AFRICOM,0,24,5,19,
ARMY,88,335,367,56,
ASBCA,0,0,0,0,
CENTCOM,34,63,77,20,
DCAA,0,2,2,0,
DCMA,0,1,1,0,
DeCA,0,0,0,0,
DFAS,0,0,0,0,
DIA,328,200,302,226,
DISA,1,2,1,2,
DLA,1,4,5,0,
DoD IG,0,6,6,0,
DoDEA,0,0,0,0,
DSS,0,0,0,0,
DTIC,0,0,0,0,
DTRA,0,0,0,0,
EUCOM,1,2,2,1,
JFCOM,4,9,13,0,
NAVY,87,249,251,85,
NGA,39,22,46,15,
NGB,0,0,0,0,
NORTHCOM,0,5,5,0,
NRO,8,26,30,4,
NSA,55,298,231,122,
OSD/JS,372,245,236,381,
PACOM,2,10,6,6,
SOCOM,20,92,78,34,
SOUTHCOM,11,14,10,15,
STRATCOM,4,15,18,1,
TRANSCOM,12,4,15,1,
TRICARE,1,17,16,2,
Total,1120,1796,1863,1053,
