Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ADJ BDS,0,2,1,1,
ALJ,0,1,1,0,
ASP,0,4,3,1,
BLS,0,1,1,0,
CFO,0,1,1,0,
EBSA,1,7,8,0,
ETA,1,11,12,0,
EXEC SEC,0,1,1,0,
ILAB,0,1,1,0,
MSHA,1,2,2,1,
OASAM,0,0,0,0,
OCIA,0,1,1,0,
ODEP,0,0,0,0,
OFCCP,1,8,9,0,
OIG,0,0,0,0,
OLMS,4,9,13,0,
OPA,0,0,0,0,
OSEC,1,1,2,0,
OSHA,15,59,72,2,
OWCP,0,8,8,0,
SOL,0,3,3,0,
VETS,0,4,4,0,
WB,0,2,2,0,
WHD,1,6,6,1,
Total,25,132,151,6,
