Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
AF,1168,7812,7899,1081,
AFRICOM,3,5,1,7,
ARMY,4437,37081,37681,3837,
ASBCA,0,2,2,0,
CENTCOM,217,337,309,245,
DCAA,10,103,111,2,
DCMA,18,234,200,52,
DeCA,8,258,260,6,
DFAS,21,203,215,9,
DIA,2629,610,938,2301,
DISA,142,558,639,61,
DLA,102,6858,6769,191,
DoDEA,6,59,58,7,
DoDIG,37,416,352,101,
DSS,1,39,40,0,
DTIC,16,90,96,10,
DTRA,26,177,169,34,
EUCOM,59,79,75,63,
JFCOM,65,50,107,8,
NAVY,1694,14303,14410,1587,
NGA,291,244,318,217,
NGB,3,46,47,2,
NORTHCOM,4,55,55,4,
NRO,91,262,302,51,
NSA,365,1243,1065,543,
OSD/JS,1561,1695,1899,1357,
PACOM,34,85,91,28,
SOCOM,172,155,168,159,
SOUTHCOM,81,175,189,67,
STRATCOM,2,101,86,17,
TRANSCOM,58,123,164,17,
TRICARE,11,115,75,51,
Total,13332,73573,74790,12115,
