Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
FSA,35,335,328,42,
IES,5,35,38,2,
IES-NAGB,0,0,0,0,
M,65,118,138,45,
OCFO,3,8,9,2,
OCFO-CAM,23,64,80,7,
OCIO,1,3,3,1,
OCO,2,5,6,1,
OCR,8,100,101,7,
OCR-1 Boston,30,147,153,24,
OCR-2 New York,38,165,162,41,
OCR-3 Philadelphia,8,75,82,1,
OCR-4 Atlanta,6,77,66,17,
OCR-5 Chicago,9,131,135,5,
OCR-6 Dallas,7,82,81,8,
OCR-7 Kansas City,5,28,24,9,
OCR-8 Denver,5,49,52,2,
OCR-9 San Francisco,2,76,75,3,
OCR-10 Seattle,1,113,109,5,
OCR-12 Cleveland,0,41,37,4,
OCR-Metro D.C.,15,74,74,15,
ODS,3,5,8,0,
OELA,3,3,6,0,
OESE,10,78,79,9,
OGC,6,7,12,1,
OIG,8,62,63,7,
OII,8,36,43,1,
OLCA,5,3,7,1,
OM,10,48,50,8,
OM-PIRMS,56,43,59,40,
OPE,21,158,157,22,
OPEPD,4,4,4,4,
OS,36,27,40,23,
OSDFS,4,4,8,0,
OSERS,16,29,43,2,
OUS,1,8,9,0,
OVAE,0,5,5,0,
Total,459,2246,2346,359,
