Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
Office of the AG,181,375,343,213,
Office of the DAG,118,223,184,157,
Office of the Assoc. AG,30,118,102,46,
Antitrust,29,80,75,34,
ATF,97,1287,1269,115,
BOP,1325,15490,15925,890,
Civil,49,402,396,55,
Civil Rights,88,569,445,212,
COPS,0,53,53,0,
Criminal,157,838,883,112,
CRS,1,10,11,0,
DEA,885,1325,1442,768,
ENRD,5,109,107,7,
EOIR,1047,20878,20414,1511,
EOUSA,1439,4434,4896,977,
EOUST,7,70,72,5,
FBI,1713,11089,11413,1389,
FCSC,1,31,31,1,
JMD,45,142,176,11,
NDIC,6,54,56,4,
NSD,46,289,305,30,
OCDETF,6,37,42,1,
ODR,0,12,11,1,
OFDT,2,19,19,2,
OIG,0,243,234,9,
OIP,74,433,476,31,
OIPL,3,40,40,3,
OJP,83,447,490,40,
OLA,64,92,100,56,
OLC,82,77,123,36,
OLP,15,81,85,11,
OPR,16,109,102,23,
OSG,15,114,114,15,
OVW,2,69,69,2,
Pardon Attorney,1,103,104,0,
Public Affairs,13,48,46,15,
PRAO,2,25,27,0,
TAX,3,107,109,1,
USMS,51,2304,2276,79,
USNCB,15,160,165,10,
USPC,70,717,762,25,
Total,7786,63103,63992,6897,
