Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"IG Act of 1978, Sec 7(b). P.L. 95-452",Confidentiality of Employee Complaints to the IG,No,20,DoD IG,24
"IG Act of 1978, Sec 7(b). P.L. 95-452",Confidentiality of Employee Complaints to the IG,No,3,NSA,24
"IG Act of 1978, Sec 7(b). P.L. 95-452",Confidentiality of Employee Complaints to the IG,No,1,OSD/JS,24
5 U.S.C. § 574(j),Dispute resolutiion communications between a neutral and a party to the dispute,No,3,ARMY,7
5 U.S.C. § 574(j),Dispute resolutiion communications between a neutral and a party to the dispute,No,4,DIA,7
10 U.S.C. § 128,Unclassified special nuclear weapons information,No,1,ARMY,4
10 U.S.C. § 128,Unclassified special nuclear weapons information,No,2,NAVY,4
10 U.S.C. § 128,Unclassified special nuclear weapons information,No,1,OSD/JS,4
10 U.S.C. § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",1,AF,122
10 U.S.C. § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",42,ARMY,122
10 U.S.C. § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",1,CENTCOM,122
10 U.S.C. § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",1,DoDEA,122
10 U.S.C. § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",64,NAVY,122
10 U.S.C. § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",4,NSA,122
10 U.S.C. § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",7,OSD/JS,122
10 U.S.C. § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",2,SOCOM,122
10 U.S.C. § 130b,"Personally identifying information of DoD and Coast Guard personnel in overseas, sensitive or routinely deployable units","Hiken v. DOD, 521 F. Supp. 2d 1047, 1062(N.D. Cal. 2007); O?Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).",192,AF,765
10 U.S.C. § 130b,"Personally identifying information of DoD and Coast Guard personnel in overseas, sensitive or routinely deployable units","Hiken v. DOD, 521 F. Supp. 2d 1047, 1062(N.D. Cal. 2007); O?Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).",12,AFRICOM,765
10 U.S.C. § 130b,"Personally identifying information of DoD and Coast Guard personnel in overseas, sensitive or routinely deployable units","Hiken v. DOD, 521 F. Supp. 2d 1047, 1062(N.D. Cal. 2007); O?Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).",46,ARMY,765
10 U.S.C. § 130b,"Personally identifying information of DoD and Coast Guard personnel in overseas, sensitive or routinely deployable units","Hiken v. DOD, 521 F. Supp. 2d 1047, 1062(N.D. Cal. 2007); O?Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).",139,CENTCOM,765
10 U.S.C. § 130b,"Personally identifying information of DoD and Coast Guard personnel in overseas, sensitive or routinely deployable units","Hiken v. DOD, 521 F. Supp. 2d 1047, 1062(N.D. Cal. 2007); O?Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).",2,DCMA,765
