Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
41 U.S.C. § 4702(b),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",6,S&T,6
41 U.S.C. § 2102,Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL34098652, at *3-4 (E.D. Cal. 2001) dictum).",2,FEMA,3
41 U.S.C. § 2102,Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL34098652, at *3-4 (E.D. Cal. 2001) dictum).",1,USCIS,3
42 U.S.C. § 262a(h),Enhanced control of dangerous biological agents and toxins/bio-terrorism information,,3,S&T,3
49 U.S.C. § 114,Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title,"Skurow v. DHS, No. 11-1296, 2012 WL 4380895, at *9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",1104,CBP,3257
49 U.S.C. § 114,Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title,"Skurow v. DHS, No. 11-1296, 2012 WL 4380895, at *9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",2018,ICE,3257
49 U.S.C. § 114,Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title,"Skurow v. DHS, No. 11-1296, 2012 WL 4380895, at *9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",1,OIG,3257
49 U.S.C. § 114,Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title,"Skurow v. DHS, No. 11-1296, 2012 WL 4380895, at *9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",15,PRIV,3257
49 U.S.C. § 114,Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title,"Skurow v. DHS, No. 11-1296, 2012 WL 4380895, at *9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",60,TSA,3257
49 U.S.C. § 114,Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Security Act or under chapter 449 of this title,"Skurow v. DHS, No. 11-1296, 2012 WL 4380895, at *9-10 (D.D.C. Sept. 26, 2012); Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grounds, 586 F.3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).",59,USSS,3257
41 U.S.C. § 253b(m)(1),Contractor proposals that are inthe possession or control of anexecutive agency and that havenot been set forth orincorporated by reference intocontracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at*13-15 (S.D. Ohio Mar. 15,2012); Hornbostel v. U.S. Dep't ofthe Interior, 305 F. Supp. 2d 21,30 (D.D.C. 2003), summaryaffirmance granted, 2004 WL1900562 (D.C. Cir. Aug. 25, 2004).",5,FEMA,6
41 U.S.C. § 253b(m)(1),Contractor proposals that are inthe possession or control of anexecutive agency and that havenot been set forth orincorporated by reference intocontracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at*13-15 (S.D. Ohio Mar. 15,2012); Hornbostel v. U.S. Dep't ofthe Interior, 305 F. Supp. 2d 21,30 (D.D.C. 2003), summaryaffirmance granted, 2004 WL1900562 (D.C. Cir. Aug. 25, 2004).",1,USCG,6
50 U.S.C. Section § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ?the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency?","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541F. 3d 205 (3d Cir. 2008).",16,I&A,41
50 U.S.C. Section § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ?the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency?","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541F. 3d 205 (3d Cir. 2008).",5,USCG,41
50 U.S.C. Section § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ?the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency?","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541F. 3d 205 (3d Cir. 2008).",14,USCIS,41
