Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Pub. L. No. 105-246, 112  Stat 1859 (Nazi War Crimes Disclosure Act)","Records related to or supporting any active or inactive investigation, inquiry, or prosecution by the Office of Special Investigations of the Department of Justice",None,3,NARA,3
8 U.S.C. § 1202(f) (Immigration and Nationality Act),Certain records pertaining to the issuance or refusal of visas to enter the United States,"Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686F.2d 192, 194 (3d Cir. 1982); Beltranena v. U.S. Dep't of State, 821 F. Supp. 2d 167,177-78 (D.D.C. 2011); Badalamenti v. U.S. Dep't of State, 899 F. Supp. 542, 547 (D. Kan. 1995); Jan-Xin Zang v. FBI, 756 F. Supp. 705, 711-12 (W.D.N.Y. 1991); Smith v. DOJ, No. 81-CV-813, 1983U.S. Dist. LEXIS 10878, at*13-14 (N.D.N.Y. Dec. 13,1983); Holy Spirit Ass'n for Unification of World Christianity, Inc. v. U.S. Dep't of State, 526 F. Supp. 1022,1031 (S.D.N.Y. 1981).",1,NARA,1
10 U.S.C. § 424,"Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency,the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","Physicians for Human Rights v. DOD, No. RDB-08-273,2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011);Miller v. DOJ, 562 F. Supp.2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va.2004).",11,NARA,11
18 U.S.C. §§ 2510-20 (Title III of the Omnibus Crime Control and Safe Streets Act),"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS22175 (D.C. Cir. Sept. 14,2007) (per curiam); Lam LekChong v. DEA, 929 F.2d 729,733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11,1997).",6,NARA,6
"26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","Church of Scientology v. IRS,484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir.2010) (unpublished disposition) (26 U.S.C.§§ 6103, 6105); Leonard v. U.S. Dep't of Treasury, No.10-6625, 2013 WL 4517912, at *2 (D.N.J. Aug. 26, 2013) (26 U.S.C. § 6103); Tax Analysts v. IRS, 217 F. Supp.2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).",2,NARA,2
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. §4702),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421,2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL1900562 (D.C. Cir. Aug. 25,2004).",2,NARA,2
42 U.S.C. § 2162 (Atomic Energy Act),"""Restricted Data"" pertaining to atomic weapons and special nuclear material","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds subnom., Meeropol v. Meese, 790F.2d 942 (D.C. Cir. 1986).",8,NARA,8
42 U.S.C. § 2168(a)(1)(c)(FRD),Restricted and formerly restricted data concerning atomic energy,None,9,NARA,9
50 U.S.C. § 402 note(National Security AgencyAct of 1959),Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees,"ACLU v. DOJ, 681 F.3d 61,72-75 (2d Cir. 2012); Elec. Priv. Info. Ctr. v. NSA, 678F.3d 926, 931 (D.C. Cir.2012); Houghton v. NSA, 378F. App'x 235, 238-39 (3d Cir.2010) (per curiam); Lahr v. NTSB, 569 F.3d 964, 985 (9th Cir. 2009); Larson v. Dep't of State, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v.NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted,354 F. App'x. 591 (2d Cir.2009).",2,NARA,2
50 U.S.C. § 403-1(i)(1) (National Security Act of1947),Intelligence sources and methods,"CIA v. Sims, 471 U.S. 159,167 (1985); ACLU v. DOJ,681 F.3d 61, 72-75 (2d Cir. May 21, 2012); ACLU v. DOD, 628 F.3d 612, 619, 626 (D.C. Cir. 2011); Berman v. CIA, 501 F.3d 1136, 1137-38,1140 (9th Cir. 2007).",19,NARA,19
