Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BIA,1230,934,1867,923,
BLM,814,990,827,996,
BOR,137,200,136,187,
FWS,716,802,704,790,
MMS,248,180,232,183,
NPS,757,869,767,850,
OIG,86,81,49,73,
OS,632,477,631,476,
OSM,61,54,63,56,
SOL,77,80,34,66,
USGS,133,143,127,150,
Total,4891,4810,5437,4750,
