Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FSIP,14,13,14,13,
Authority,63,73,60,75,
IG,4,2,4,2,
OGC,4,1,4,1,
ATRO,6,2,6,2,
BORO,2,6,2,5,
CHRO,2,0,2,0,
DARO,3,0,3,0,
DERO,1,1,1,1,
SFRO,6,5,6,5,
WARO,0,2,0,2,
Total,105,105,102,106,
