Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BEP,64,83,66,85,
BPD,114,141,117,141,
DO,688,902,986,620,
FinCEN,109,168,199,177,
FMS,188,262,192,257,
IRS,17894,14898,18289,15590,
MINT,70,103,74,106,
OCC,3719,3233,3739,3210,
OTS,4739,779,4761,800,
TIGTA,258,253,277,246,
TTB,84,121,85,120,
Total,27927,20943,28785,21352,
