Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BPA,118,115,101,125,
CBFO,15,7,16,6,
CH,58,66,63,65,
EMCBC,30,38,33,38,
GFO,197,255,206,242,
HQ,897,1012,851,931,
ID,35,35,36,32,
NETL,89,69,90,71,
NNSA,318,281,300,272,
NR,0,0,0,0,
NRLFO,10,17,9,14,
ORO,240,219,249,223,
OSTI,3,4,2,5,
ROO,105,81,106,78,
SEPA,0,5,0,5,
SPR,4,13,3,14,
SRO,57,57,54,62,
SWPA,6,6,6,3,
WAPA,24,35,24,36,
Total,2206,2315,2149,2222,
