Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BPA,132,159,106,141,
CBFO,0,0,0,0,
CH,63,63,66,62,
EMCBC,69,73,60,65,
GFO,272,316,253,336,
HQ,803,898,866,902,
ID,36,27,38,26,
NETL,27,21,29,20,
NNSA,264,290,235,326,
NR,0,0,0,0,
NRLFO,7,5,8,6,
ORO,212,206,207,222,
OSTI,8,17,6,14,
ROO,100,84,95,90,
SEPA,5,5,5,5,
SPR,3,5,2,5,
SRO,42,24,42,27,
SWPA,10,9,7,10,
WAPA,24,17,23,17,
Total,2077,2219,2048,2274,
