Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
HQ,2311,2059,2360,2002,
Region 1,221,271,220,263,
Region 2,1483,1551,1724,1200,
Region 3,1234,1130,1267,1129,
Region 4,807,822,813,824,
Region 5,1415,1394,1405,1392,
Region 6,614,584,578,609,
Region 7,636,572,642,578,
Region 8,339,341,334,339,
Region 9,619,534,642,526,
Region 10,444,431,450,397,
Total,10123,9689,10435,9259,
