Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FAA,8367,6834,8483,6899,
FHWA,429,517,410,531,
FMCSA,1774,1945,1586,1921,
FRA,316,337,362,342,
FTA,281,323,272,324,
MARAD,119,102,180,126,
NHTSA,216,231,239,200,
OIG,85,99,89,98,
OST,257,340,244,326,
PHMSA,161,148,167,153,
RITA,41,48,42,46,
SLSDC,18,22,18,22,
Total,12064,10946,12092,10988,
