Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
HQ,1042,1058,1080,978,
OIG,129,115,132,116,
R01,100,102,102,98,
R02,156,125,155,117,
R03,182,140,185,135,
R04,393,412,398,400,
R05,157,127,157,109,
R06,221,147,221,141,
R07,49,44,47,44,
R08,107,110,107,108,
R09,210,218,208,208,
R0X,82,96,90,90,
Total,2828,2694,2882,2544,
