Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FSIP,9,8,9,8,
Authority,45,32,44,32,
IG,5,3,6,3,
OGC,9,1,9,1,
ATRO,9,4,9,4,
BORO,2,4,2,4,
CHRO,1,3,1,3,
DARO,2,3,2,3,
DERO,0,0,0,0,
SFRO,3,2,3,2,
WARO,1,4,1,4,
Total,86,64,86,64,
