Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
ARC,108,93,57,109,
DFRC,19,15,17,16,
GRC,50,55,52,49,
GSFC,180,162,152,171,
HQS,317,354,313,282,
JPL,62,53,61,35,
JSC,244,217,233,231,
KSC,154,144,161,144,
LaRC,50,37,47,38,
MSFC,172,123,172,122,
NSSC,7,14,6,15,
OIG,36,40,36,37,
SSC,17,9,19,9,
Total,1416,1316,1326,1258,
