Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FSIP,13,9,13,9,
Authority,32,45,34,44,
IG,4,5,3,6,
OGC,7,9,7,9,
ATRO,7,9,7,9,
BORO,6,2,6,2,
CHRO,13,1,13,1,
DARO,7,2,7,2,
DERO,5,0,5,0,
SFRO,9,3,9,3,
WARO,6,1,6,1,
Total,109,86,110,86,
