Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FSIP,8,14,8,14,
Authority,32,63,32,60,
IG,3,4,3,4,
OGC,1,4,1,4,
ATRO,4,6,4,6,
BORO,4,2,4,2,
CHRO,3,2,3,2,
DARO,3,3,3,3,
DERO,0,1,0,1,
SFRO,2,6,2,6,
WARO,4,0,4,0,
Total,64,105,64,102,
