Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
ADJ BDS,18,31,17,34,
ALJ,183,149,188,149,
ASP,17,5,53,10,
BLS,43,42,44,48,
CFO,19,5,49,5,
EBSA,476,537,550,487,
ETA,2497,2694,2530,2760,
EXEC SEC,22,2,81,5,
ILAB,23,18,24,18,
MSHA,2010,1773,2109,1816,
OASAM,237,267,238,265,
OCIA,29,44,39,43,
ODEP,13,0,71,0,
OFCCP,349,265,361,275,
OIG,66,75,69,68,
OLMS,81,70,79,73,
OPA,32,13,28,10,
OSEC,15,20,19,17,
OSHA,8684,8628,8952,8816,
OWCP,371,1022,410,1011,
SOL,102,112,125,114,
VETS,512,234,479,356,
WB,12,12,8,15,
WHD,2749,2737,2701,2780,
Total,18560,18755,19224,19175,
