Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BIA,1700,2011,1708,1956,
BLM,983,942,1006,939,
BOEM,83,87,75,94,
BOR,227,234,254,219,
BSEE,175,183,157,238,
FWS,1238,1265,1263,1242,
NPS,925,800,908,810,
OIG,90,98,108,113,
OS,466,403,517,431,
OSM,66,61,71,63,
SOL,80,72,75,90,
USGS,162,169,164,168,
Total,6195,6325,6306,6363,
