Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BIA,1385,1696,1383,1708,
BLM,1061,979,1040,1003,
BOEM,42,83,40,75,
BOR,277,227,278,254,
BSEE,172,174,216,151,
FWS,1192,1226,1188,1260,
NPS,858,921,835,906,
OIG,56,90,154,105,
OS,472,466,480,517,
OSM,69,66,61,71,
SOL,50,78,42,70,
USGS,160,162,168,165,
Total,5794,6168,5885,6285,
