Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
HQ,1986,1940,1656,1932,
Region 1,224,230,239,239,
Region 2,1798,2099,1521,2000,
Region 3,1105,930,1030,631,
Region 4,868,871,875,864,
Region 5,1365,1738,1346,1766,
Region 6,605,585,581,616,
Region 7,559,577,544,586,
Region 8,361,300,342,311,
Region 9,604,714,589,710,
Region 10,476,486,408,475,
Total,9951,10470,9131,10130,
