Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BIS,29,34,31,33,
Census,340,283,351,291,
EDA,67,32,68,35,
ESA,10,5,10,5,
ITA,71,53,46,61,
MBDA,4,5,2,7,
NIST,232,235,261,206,
NOAA,709,515,670,465,
NTIA,83,94,87,89,
NTIS,13,14,13,13,
OIG,81,50,93,48,
OS,261,232,274,201,
PTO,302,255,303,247,
Total,2202,1807,2209,1701,
