Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
HQ,958,975,1134,1022,
OIG,193,145,255,135,
R01,68,122,74,223,
R02,188,219,208,244,
R03,112,183,159,195,
R04,491,474,424,477,
R05,231,232,140,241,
R06,117,235,180,251,
R07,55,30,53,33,
R08,95,96,119,96,
R09,150,208,206,228,
R0X,100,134,97,132,
Total,2758,3053,3049,3277,
