Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BEP,65,57,59,57,
BPD,187,117,187,117,
CFPB,18,184,7,176,
DO,938,1221,999,1297,
FinCEN,195,252,194,254,
FMS,301,281,290,259,
IRS,12242,12137,12028,12198,
MINT,83,128,81,127,
OCC,2453,1933,2535,1924,
TIGTA,219,227,227,226,
TTB,75,73,76,70,
Total,16776,16610,16683,16705,
