Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
AMS,152,161,153,163,
APHIS,885,993,760,798,
ASCR,23,19,24,18,
FAS,37,49,40,49,
FNCS,277,334,271,309,
FS,2439,1939,2353,1889,
FSA,17231,14814,16728,14343,
FSIS,379,419,351,365,
GIPSA,58,36,61,37,
NAD,10,4,8,0,
NRCS,327,300,219,388,
OBPA,18,5,15,8,
OCFO,30,20,21,16,
OGC,30,29,27,27,
OIG,127,137,76,115,
OSEC/OCIO/DM,218,181,174,251,
RD,190,248,113,301,
REE,88,115,87,115,
RMA,61,61,75,51,
Total,22580,19864,21556,19243,
