Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
ACF,296,285,417,225,
CMS,52116,53424,53328,53744,
OIG,729,664,740,656,
AHRQ,77,57,81,57,
CDC,1128,1123,1097,899,
FDA,9301,9598,10602,10492,
HRSA,332,277,330,219,
IHS,100,107,104,132,
NIH,1198,1147,1204,1130,
SAMHSA,166,173,109,123,
OS,1396,1129,1592,1099,
OASH,571,465,529,462,
ACL,16,18,16,18,
Total,67426,68467,70149,69256,
