Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FAA,6650,8131,6434,7753,
FHWA,407,438,416,463,
FMCSA,1793,1815,1785,1431,
FRA,376,412,332,396,
FTA,278,252,271,265,
MARAD,134,71,136,100,
NHTSA,220,269,243,225,
OIG,117,114,107,110,
OST,345,318,327,287,
PHMSA,198,165,151,154,
RITA,27,16,26,18,
SLSDC,7,11,7,11,
Total,10552,12012,10235,11213,
