Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
ACF,1864,850,1255,1100,
CMS,26361,26566,25027,28153,
OIG,843,1276,815,1304,
CDC,1141,1020,1028,943,
FDA,10224,9958,10191,10145,
HRSA,355,379,352,419,
IHS,152,149,160,130,
NIH,1169,1273,1156,1268,
SAMHSA,193,175,238,177,
OS,1531,1071,1605,1113,
OASH,437,357,455,423,
ACL,13,11,11,11,
Total,44283,43085,42293,45186,
