Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BPA,53,118,54,101,
CBFO,9,15,9,16,
CH,51,58,48,63,
EMCBC,38,30,40,33,
GFO,68,197,62,206,
HQ,702,897,658,851,
ID,40,35,41,36,
NETL,67,89,61,90,
NNSA,309,318,320,300,
NR,13,0,16,0,
NRLFO,0,10,0,9,
ORO,259,240,246,249,
OSTI,7,3,6,2,
ROO,71,105,71,106,
SEPA,8,0,8,0,
SPR,5,4,6,3,
SRO,51,57,48,54,
SWPA,7,6,7,6,
WAPA,32,24,32,24,
Total,1790,2206,1733,2149,
