Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
ATLANTA,1419,1245,1433,1329,
BIRMINGHAM,1279,1111,1310,1115,
CHARLOTTE,1269,1053,1291,1046,
CHICAGO,962,731,980,730,
DALLAS,1659,1644,1658,1653,
HOUSTON,938,803,944,791,
INDIANAPOLIS,2088,1758,2166,1778,
LOS ANGELES,992,1119,1011,1120,
MEMPHIS,694,734,678,750,
MIAMI,2110,1909,2052,1949,
NEW YORK,935,812,918,815,
OLC/HDQ,483,473,466,459,
PHILADELPHIA,1553,1266,1470,1371,
PHOENIX,591,575,575,550,
SAN FRANCISCO,724,809,725,768,
ST. LOUIS,1064,953,1188,886,
WFO,186,218,190,204,
Total,18946,17213,19055,17314,
