Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
AF,8287,7956,8351,7868,
AFRICOM,0,25,0,22,
ARMY,35688,32224,35370,32570,
ASBCA,20,15,20,15,
CENTCOM,220,171,178,140,
DCAA,114,90,117,83,
DCMA,180,255,172,275,
DeCA,64,126,64,118,
DFAS,238,256,236,246,
DIA,1089,688,943,727,
DISA,339,324,357,317,
DLA,5516,5866,5541,5873,
DoDEA,47,67,47,67,
DoDIG,386,313,377,333,
DSS,81,62,79,61,
DTIC,54,172,51,161,
DTRA,159,229,153,221,
EUCOM,37,41,25,35,
JFCOM,28,36,12,13,
NAVY,14405,14476,14928,14528,
NGA,132,154,59,119,
NGB,0,21,0,18,
NORTHCOM,38,35,38,30,
NRO,188,269,175,227,
NSA,1305,987,1358,963,
OSD/JS,2002,1969,2322,2424,
PACOM,93,92,145,109,
SOCOM,158,139,198,186,
SOUTHCOM,138,136,168,152,
STRATCOM,42,44,42,40,
TRANSCOM,88,112,85,108,
TRICARE,92,84,88,84,
Total,71228,67434,71699,68133,
