Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
HQ,975,1042,1022,1080,
OIG,145,129,135,132,
R01,68,100,223,102,
R02,214,156,244,155,
R03,164,182,195,185,
R04,543,393,477,398,
R05,301,157,241,157,
R06,175,221,251,221,
R07,55,49,33,47,
R08,105,107,96,107,
R09,208,210,228,208,
R0X,100,82,132,90,
Total,3053,2828,3277,2882,
