Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FAA,7424,8367,7237,8483,
FHWA,352,429,341,410,
FMCSA,1087,1774,1029,1586,
FRA,352,316,392,362,
FTA,196,281,196,272,
MARAD,156,119,196,180,
NHTSA,281,216,242,239,
OIG,69,85,71,89,
OST,238,257,239,244,
PHMSA,156,161,127,167,
RITA,43,41,42,42,
SLSDC,9,18,9,18,
Total,10363,12064,10121,12092,
