Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BPA,115,82,125,80,
CBFO,7,13,6,14,
CH,66,76,65,72,
EMCBC,39,46,38,44,
GFO,256,256,242,268,
HQ,1006,911,933,940,
ID,35,39,32,40,
NETL,69,47,71,50,
NNSA,281,323,266,291,
NR,0,0,0,0,
NRLFO,17,6,14,7,
ORO,218,255,223,248,
OSTI,4,13,5,13,
ROO,81,95,78,94,
SEPA,5,6,5,6,
SPR,13,6,14,6,
SRO,57,41,62,41,
SWPA,6,7,3,10,
WAPA,35,35,36,34,
Total,2310,2257,2218,2258,
