Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FSIP,15,13,15,13,
Authority,38,32,47,34,
IG,3,4,3,3,
OGC,2,7,2,7,
ATRO,3,7,3,7,
BORO,7,6,7,6,
CHRO,1,13,1,13,
DARO,1,7,1,7,
DERO,2,5,2,5,
SFRO,5,9,7,9,
WARO,1,6,1,6,
Total,78,109,89,110,
