Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
CBP,33243,41381,26571,14635,
CRCL,84,73,87,73,
FEMA,761,798,952,564,
FLETC,109,113,102,122,
I&A,96,109,115,78,
ICE,24073,34161,21220,30818,
NPPD,7105,15187,4891,12942,
OIG,180,170,166,142,
OPS,60,45,60,45,
PRIV,899,798,868,840,
S&T,36,26,37,26,
TSA,861,909,949,851,
USCG,3700,3468,3256,3098,
USCIS,117787,132797,145278,138523,
USSS,1595,1499,1343,1575,
Total,190589,231534,205895,204332,
