Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
ARC,35,83,20,90,
DFRC,4,28,0,32,
GRC,10,28,0,35,
GSFC,117,175,4,262,
HQ,179,141,87,248,
JPL,4,48,1,51,
JSC,5,230,2,209,
KSC,4,77,0,71,
LaRC,33,59,1,123,
MSFC,4,111,0,108,
NSSC,0,29,0,27,
OGC,0,3,0,1,
OIG,6,21,0,26,
SSC,0,25,0,23,
Total,401,1058,115,1306,
