Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
ACF,233,1864,319,1255,
CMS,51364,26361,51682,25027,
OIG,714,843,726,815,
CDC,1032,1141,1039,1028,
FDA,9990,10224,10492,10191,
HRSA,302,355,282,352,
IHS,124,152,102,160,
NIH,1210,1169,1236,1156,
SAMHSA,188,193,168,238,
OS,1301,1531,1313,1605,
OASH,440,437,506,455,
ACL,18,13,18,11,
Total,66916,44283,67883,42293,
