Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
BEP,88,82,83,83,
DO,732,771,946,627,
FinCEN,284,392,277,390,
IRS,10454,10197,10109,10416,
MINT,119,95,131,96,
OCC,1806,1638,1801,1634,
TIGTA,282,312,287,308,
TTB,50,108,50,106,
Fiscal Service,292,327,306,327,
Total,14107,13922,13990,13987,
