Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
ARC,59,45,59,48,
DFRC,33,16,28,20,
GRC,33,38,32,38,
GSFC,171,118,183,125,
HQ,201,210,261,215,
JPL,51,53,51,53,
JSC,210,148,226,142,
KSC,75,60,81,57,
LaRC,36,42,45,40,
MSFC,91,93,97,93,
NSSC,18,15,19,15,
OGC,0,0,0,0,
OIG,34,41,33,42,
SSC,14,7,16,7,
Total,1026,886,1131,895,
