Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
HQ,1082,1039,1139,881,
OIG,64,139,74,135,
R01,64,65,66,64,
R02,104,90,102,97,
R03,129,167,123,174,
R04,256,240,245,242,
R05,109,119,109,120,
R06,152,115,147,121,
R07,36,34,36,35,
R08,114,97,94,111,
R09,205,192,189,178,
R0X,73,70,76,66,
Total,2388,2367,2400,2224,
