Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
FAA,6169,7424,6294,7237,
FHWA,433,352,431,341,
FMCSA,932,1087,974,1029,
FRA,373,352,351,392,
FTA,201,196,219,196,
MARAD,109,156,79,196,
NHTSA,267,281,276,242,
OIG,88,69,139,71,
OST,294,238,334,239,
PHMSA,100,156,132,127,
RITA,47,43,48,42,
SLSDC,5,9,5,9,
Total,9018,10363,9282,10121,
