Component,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Received - Number of Received During Fiscal Year From Last Year's Curren Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Annual Report,Number of Requests Processed - Number of Received During Fiscal Year From Last Year's Current Report,
AMS,161,141,163,142,
APHIS,993,955,798,959,
ASCR,19,32,18,33,
FAS,49,52,49,46,
FNCS,334,495,309,462,
FS,1939,2072,1889,1935,
FSA,14814,14854,14343,14232,
FSIS,419,319,365,374,
GIPSA,36,75,37,74,
NAD,4,2,0,0,
NRCS,300,252,388,221,
OBPA,5,23,8,23,
OCFO,20,11,16,5,
OGC,29,17,27,12,
OIG,137,115,115,112,
OSEC/OCIO/DM,181,235,251,225,
RD,248,260,301,485,
REE,115,127,115,122,
RMA,61,95,51,97,
Total,19864,20132,19243,19559,
