Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BIS,6,15,1,112,51,74,10,214,0,0,0,0,
Census,9,11,1,66,0,0,0,0,24,24,20,30,
EDA,1,4,1,9,20,27,11,57,8,8,8,8,
ESA,9,10,1,25,0,0,0,0,0,0,0,0,
ITA,11,21,1,152,0,0,0,0,0,0,0,0,
MBDA,12,19,7,76,0,0,0,0,0,0,0,0,
NIST,28,31,1,256,0,0,0,0,0,0,0,0,
NOAA,9,9,1,20,50,113,21,762,6,10,5,40,
NTIA,7,9,1,26,0,0,0,0,19,19,9,29,
NTIS,7,6,6,10,0,0,0,0,5,5,5,5,
OIG,20,23,1,190,0,0,0,0,0,0,0,0,
OS,13,13,1,46,82,134,52,573,0,0,0,0,
PTO,5,7,0,58,0,0,0,0,0,0,0,0,
Total,12,15,1,256,51,115,10,762,20,18,5,40,
