Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
HQ,16,73.69,,2044,54,99.96,1,1344,254.5,261.75,14,524,
Region 1,11,13.54,,74,27,45.65,21,482,,,,,
Region 2,11,10.42,,88,32,43,21,213,,,,,
Region 3,20,29.94,,97,36,43.03,21,397,35,35,35,35,
Region 4,13,12.06,,20,28,39.54,11,438,,,,,
Region 5,16,17.26,,365,27,37.8,12,634,56,56,30,82,
Region 6,220,245.79,,779,34,53.03,,695,28,36,28,52,
Region 7,19,18.4,,148,24,37.55,,181,4,4,4,4,
Region 8,16,25.52,,390,29,47.79,14,449,,,,,
Region 9,14,12.71,,20,36,55.42,,455,,,,,
Region 10,10,19.67,,666,51.5,72.7,8,327,,,,,
Total,15,27,0,2044,34,56,0,1344,30,119,4,524,
