Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
Office of the AG,22,82,1,827,477,507,116,881,349,378,41,843,
Office of the DAG,38,123,1,870,804,680,294,929,488,433,50,843,
Office of the Assoc. AG,32,79,3,613,,,850,850,,116,96,136,
Antitrust,5,9,1,71,102,404,1,1871,,,,,
ATF,7,13,1,250,,,,,,,,,
BOP,7,18,,200,37,53,,285,3,4,,12,
Civil,15,25,1,298,,,,,,,7,7,
Civil Rights,4,9,,49,95,138,50,368,,,,,
COPS,2,3,1,14,,,,,,,,,
Criminal,41,50.8,1,259,61,87.7,,350,41,37.5,9,59,
CRS,20,19,14,24,,,,,,,,,
DEA,,,,,81,130.37,1,1641,,83,12,154,
ENRD,29,34.8,6,112,201,192.7,61,316,,,,,
EOIR,18,21,1,377,29,34,6,355,25,28,3,68,
EOUSA,48,152.1,,3290,,,,,95,439.9,7,2759,
EOUST,9.5,14.6,3,56,93,144.1,2,504,,,,,
FBI,88,115,1,1093,236,301,7,1504,60,79,1,593,
FCSC,12,17,1,84,,,,,,,,,
JMD,15,23.9,1,208,42,65.8,7,292,,,,,
NDIC,12,15,6,63,,,,,,,,,
NSD,16,36.5,,283,246,242.8,97,474,,,76,76,
ODR,1.5,3,1,14,,,,,,,,,
OFDT,8,14,2,64,15,43,3,239,8,15,3,46,
OIG,4,6,1,22,49,55,22,141,51,52,2,105,
OIP,7,21,,665,,490.5,414,567,,,,,
OIPL,38,86,17,310,,330,127,533,,,,,
OJP,9,14.5,1,104,61,65.4,1,205,,,,,
OLA,59,121,3,785,573,489,191,881,562,452,20,843,
OLC,38,146.5,1,765,75,119.7,42,665,,,12,12,
OLP,24,54,3,515,725,672,357,882,601,507,117,802,
OPR,28,40,1,191,261,297,68,704,,,,,
OSG,30,15,1,40,,,,,10,3,1,15,
OVW,13.5,15.7,1,45,,,,,,,,,
Pardon Attorney,7,14,1,67,,,36,36,,,92,92,
Public Affairs,17,53,2,269,566,605,554,694,,,202,202,
PRAO,14,11.7,1,26,,,,,,,,,
TAX,2,7,1,54,75,64,1,116,,,,,
USMS,5,14,1,321,89.5,110.7,14,426,8,9,3,15,
USNCB,2,4,,30,9,14,5,33,2,2,,3,
USPC,2,9,1,299,214,186,1,505,,,,,
Total,12,32,0,3290,50,103,0,1871,28,151,0,2759,
