Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ACF,87,227,1,1039,33,71,1,750,4,0,0,4,
CMS,11,14,1,842,14,108,2,598,117,139,24,400,
OIG,1,3,1,27,9,27,1,257,0,0,0,0,
AHRQ,6,8,,20,35,40,7,80,0,0,0,0,
CDC,18,74,6,536,62,102,1,1119,0,0,0,0,
FDA,8,29,1,1198,105,203,1,1757,0,0,0,0,
HRSA,0,0,0,0,18,21,1,229,0,0,0,0,
IHS,9,18,1,32,42,59,13,152,0,0,0,0,
NIH,13,16,1,161,54,78,1,1240,0,0,0,0,
SAMHSA,56,48,1,106,57,83,4,393,0,0,0,0,
OS,0,0,0,0,189,91,1,2648,0,0,0,0,
OASH,7,16,1,153,100,166,7,999,0,0,0,0,
ACL,0,5,7,0,0,0,0,0,0,0,0,0,
Total,8,35,0,1198,42,80,0,2648,60,11,0,400,
