Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
HQ,13,11.81,,20,65,172.97,,2120,129,459,20,1790,
Region 1,5,7.76,,20,31,72.55,19,737,,,,,
Region 2,14,12.3,,20,31,44.47,15,359,,,,,
Region 3,14,12.99,,20,65,84.13,21,1075,62,62,62,62,
Region 4,15,13.65,,20,31,45.58,,754,,,,,
Region 5,16,14.19,,20,25,40.15,6,828,13,13,13,13,
Region 6,16,11.56,,20,22,43.79,,1538,347,347,347,347,
Region 7,19,16.15,,20,26,31.18,2,107,,,,,
Region 8,14,13.02,,20,30,78.78,,638,34,34,34,34,
Region 9,13,12.87,,20,25,33.45,21,244,6,13,,32,
Region 10,12,10.75,,20,50,122.17,5,1320,,,,,
Total,15,13,0,20,33,79,0,2120,35,265,0,1790,
