Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ADJ BDS,9,27,3,277,13,13,13,13,1,1,1,1,
ALJ,0,0,0,0,3,7.2,1,171,2,6,1,19,
ASP,262,369.9,9,1645,781,806.4,18,1825,0,0,0,0,
BLS,20,18.9,9,22,20,30.5,17,99,91,91,91,91,
CFO,1579.5,1235.6,291,1923,30,429.1,1,1916,1865,1871.9,1845,1928,
EBSA,14.5,16.2,0,77,17,120.3,0,1980,0,0,0,0,
ETA,8,14.1,0,249,9,16.7,0,279,6,8.6,0,20,
EXEC SEC,1163,937.9,1,1909,794,966.5,194,1891,0,0,0,0,
ILAB,1,1,1,1,16,57.7,1,758,0,0,0,0,
MSHA,0,0,0,0,11,38.6,0,1936,51,174.4,5,1302,
OASAM,6,19,2,109,26.5,35.2,0,257,35.5,35.5,22,49,
OCIA,20.5,705.8,12,1899,39,503.3,1,1928,21,21,20,22,
ODEP,1875,1875,1875,1875,1503.5,1259.2,1,1929,0,0,0,0,
OFCCP,3,4.3,0,28,13,26.1,0,223,0,0,0,0,
OIG,6,13,0,70,91,173,0,712,1,3,0,15,
OLMS,13,19.4,1,77,10,25.6,0,266,89,89,89,89,
OPA,973,973,5,1941,75,692.7,4,1940,6,9.7,6,17,
OSEC,8,8,8,8,39.2,57.2,5,186,0,0,0,0,
OSHA,6,27.6,0,999,9,29.4,0,2796,7,15.2,1,193,
OWCP,12,71.2,1,1306,15,89.4,0,1753,5,5,5,5,
SOL,18,88.4,1,494,46,132.3,0,1182,0,0,0,0,
VETS,793,811.9,2,1970,26,60.3,1,1888,7.5,7.5,7,8,
WB,88,95.4,50,150,102,468.7,6,1298,0,0,0,0,
WHD,13,32.6,1,757,24,53.8,0,1249,4.5,8.8,1,39,
Total,8,48,0,1970,12,55,0,2796,9,140,1,1928,
