Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
FSIP,1,6,,29,0,0,0,0,0,0,0,0,
Authority,18,146,1,1061,0,0,0,0,0,0,0,0,
IG,2,5,2,10,0,0,0,0,0,0,0,0,
OGC,3,3,2,3,0,0,0,0,0,0,0,0,
ATRO,7,8,6,10,0,0,0,0,0,0,0,0,
BORO,5,7,2,19,0,0,0,0,0,0,0,0,
CHRO,1,1,1,1,0,0,0,0,0,0,0,0,
DARO,6,6,6,6,0,0,0,0,0,0,0,0,
DERO,9,9,9,9,0,0,0,0,0,0,0,0,
SFRO,9,11,3,20,0,0,0,0,0,0,0,0,
WARO,1,1,1,1,0,0,0,0,0,0,0,0,
Total,10,80,0,1061,0,0,0,0,0,0,0,0,
