Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ADJ BDS,5,7,1,33,0,0,0,0,0,0,0,0,
ALJ,0,0,0,0,3,9.6,1,175,2,2.8,1,20,
ASP,0,0,0,0,21,90,16,233,0,0,0,0,
BLS,12,12,2,20,0,0,0,0,0,0,0,0,
CFO,0,0,0,0,18,45.7,6,198,0,0,0,0,
EBSA,2,6.2,0,156,12,19.45,0,181,12,6.5,1,12,
ESA - OFCCP,7,10.2,1,82,15,29.8,1,279,29.5,32,5,54,
ESA - OLMS,11,21.2,1,105,13,22.5,0,219,0,0,0,0,
ESA - OMAP,0,0,0,0,18,19.7,8,33,0,0,0,0,
ESA - OWCP,10,12.14,1,251,26,25,18.5,41,10,10,10,10,
ESA - WHD,8,19,1,50,24,53,1,213,2,4,1,11,
ETA,49,83.5,1,368,77,92.9,1,359,32.5,64.8,1,248,
ILAB,8,8,8,8,19,26.3,1,34,0,0,0,0,
JOB CORP,2,2,1,3,0,0,0,0,1,1,1,1,
MSHA,0,0,0,0,9,14.8,0,329,3,48.6,2,180,
OASAM,0,0,0,0,23,30.4,0,162,20,27,0,37,
OCIA,0,0,0,0,0,0,0,0,0,0,0,0,
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,7,17,0,136,69,84,15,177,3,4,3,5,
OPA,8,5,3,10,0,0,0,0,0,0,0,0,
OSBP,0,0,0,0,29.5,29.5,13,46,0,0,0,0,
OSHA,5,22.4,1,494,8,91,1,550,11,36,1,138,
SOL,14,13.5,1,31,38,38,38,38,59,59,59,59,
VETS,10,10.9,1,63,10,14,7,23,5,6,1,20,
WB,20.5,18.8,6,28,21,23,15,35,0,0,0,0,
Total,8,17,1,494,18,43,1,550,10,20,0,248,
