Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
FSIP,3,9.31,,45,,,,,,,,,
Authority,10,10.64,,49,38,37.33,18,56,,,,,
IG,16,16.75,2,33,,,,,,,,,
OGC,18,22,,51,,,,,,,,,
ATRO,10,12,4,20,,,,,,,,,
BORO,3,3,3,3,,,,,,,,,
CHRO,9.5,9.5,9,10,,,,,,,,,
DARO,14,15,13,18,,,,,,,,,
DERO,1,1,,,,,,,,,,,
SFRO,3.5,4.17,,8,,,,,,,,,
Total,9,11,0,51,38,37,18,56,0,0,0,0,
