Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BPA,15,22,1,164,0,0,0,0,0,0,0,0,
CBFO,3,5,1,15,23,18,6,24,7,7,6,7,
CH,3,6,1,24,28,31,16,55,16,16,16,16,
EMCBC,23,42,1,196,0,0,0,0,0,0,0,0,
GFO,8,13,1,28,41,51,31,91,0,0,0,0,
HQ,29,113,1,3239,0,0,0,0,0,0,0,0,
ID,1,10,1,26,23,40,11,85,0,0,0,0,
NETL,33,23,1,120,0,0,0,0,0,0,0,0,
NNSA/AL,35,59,1,950,0,0,0,0,0,0,0,0,
NR,20,45,7,120,0,0,0,0,0,0,0,0,
ORO,39,50,1,284,81,117,1,375,0,0,0,0,
OSTI,17,16,7,25,0,0,0,0,0,0,0,0,
PNSO,16,14,3,36,0,0,0,0,0,0,0,0,
RL,18,15,1,64,0,0,0,0,0,0,0,0,
SEPA,5,5,2,7,0,0,0,0,0,0,0,0,
SPR,25,12,3,35,0,0,0,0,0,0,0,0,
SROO,21,156,1,867,0,0,0,0,0,0,0,0,
SWPA,1,11,1,20,0,0,0,0,0,0,0,0,
WAPA,16,11,5,22,119,119,119,119,0,0,0,0,
Total,23,70,1,3239,51,86,1,375,7,10,6,16,
