Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
FSIP,1,1,0,2,,,,,,,,,
Authority,20,79,1,325,,,,,,,,,
IG,3,3,3,3,,,,,,,,,
OGC,9,13,1,39,,,,,,,,,
ATRO,8,10,5,19,,,,,,,,,
BORO,9,8,2,9,,,,,,,,,
CHRO,3,4,1,9,,,,,,,,,
DARO,7,7,7,7,,,,,,,,,
DERO,9,9,4,13,,,,,,,,,
SFRO,7,7,7,7,,,,,,,,,
WARO,8,8,2,13,,,,,,,,,
Total,9,28,0,325,0,0,0,0,0,0,0,0,
