Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ACF,186,96,1,429,193,108,1,403,15,10,3,43,
AOA,0,0,0,0,6,6,2,15,0,0,0,0,
CMS,18,25.9,1,952,98.7,297.6,1,3211.6,137,239.3,1,807,
OIG,0,0,0,0,4,9.3,1,82,0,0,0,0,
OPHS,0,0,0,0,53,98,0,718,0,3.5,1,6,
AHRQ,0,10,1,35,0,15,11,35,0,10,10,10,
CDC,2,14.2,0,396,17,60.35,0,463,6,7.88,0,39,
FDA,206,285.9,1,1643,481,500.8,1,1951,173,309.5,2,1108,
HRSA,0,0,0,0,15,18,1,239,0,0,0,0,
IHS,16,20,12,24,44,36,42,66,14,20,3,25,
NIH,0,0,0,0,20,40,1,721,0,0,0,0,
SAMHSA,0,0,0,0,70,75,8,138,0,0,0,0,
OS,0,0,0,0,222,259,1,1395,0,0,0,0,
Total,18,60,1,1643,98,300,1,3212,15,110,1,1108,
