Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
Admin,34.5,34.5,19,50,163.5,167.75,68,276,,,,,
BVA,,,,,21,26.38,4,77,,,,,
C&LA,30,33.33,22,48,24,27.4,2,71,,,,,
CFM,103,93.02,,217,77,98.67,1,226,,,,,
GC,56,56,56,56,19,24.8,,118,,,,,
HRM,,,,,187,213,5,470,,,,,
IG,19,14.36,,43,20,20.28,,123,4,4,4,4,
Mgmt,5,5,5,5,2,2,2,2,,,,,
NCA,,,,,12,15.68,,120,,,,,
OAL,5,18.57,,77,6,15.91,,133,,,,,
OASHRA,,,,,377,252.67,4,377,,,,,
OASP&IA,,,,,20,20,20,20,,,,,
ODASB,,,,,63,63,63,63,,,,,
OF,66,66,66,66,20.5,31.45,,112,,,,,
OIT,11,9.73,2,18,9,31.88,,421,,,,,
ORM,10,10,10,10,9,10.18,,22,,,,,
OSDBU,,,,,149,152.12,17,309,,,,,
OSP,,,,,14,12.07,,32,,,,,
P&P,82.5,82.5,30,135,77.5,77.5,13,142,,,,,
SEC,75,75,75,75,19,66.18,,833,,,,,
VBA,29,34.71,,115,26,41.32,,486,345,246.33,1,393,
VHA,4,10.16,,444,8,21.36,,733,2,7.17,,49,
Total,4,11,0,444,12,28,0,733,3,35,0,393,
