Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BEP,7,7.8,1,20,26,17.9,1,27,0,0,0,0,
BPD,0,0,0,0,3,5.2,1,37,0,0,0,0,
DO,0,0,0,0,147,360,2,3668,82,88,2,178,
FinCEN,2,2.3,1,5,7,10.2,1,50,0,0,0,0,
FMS,0,0,0,0,5,7,1,31,0,0,0,0,
IRS,0,0,0,0,15,24.8,,988,14,27.1,5,66,
MINT,0,0,0,0,35,12.9,1,71,29,29,5,53,
OCC,4,9,1,10,6,13,1,20,2,3,1,5,
OTS,0,0,0,0,9,30,,583,0,0,0,0,
TIGTA,15,17,,73,31,31,,90,0,0,0,0,
TTB,9,10.5,1,29,14,14,14,14,0,0,0,0,
Total,6,11,0,73,14,48,0,3668,74,82,0,178,
