Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BPA,4,13.06,,297,40,66.56,,265,,,,,
CH,5,5.69,,20,17,22.91,,80,,,,,
EMCBC,29,71.78,,515,61.5,104.67,19,271,11,11,11,11,
GFO,4,8.36,,59,,,,,,,,,
HQ,17,54.63,,950,53,147.3,,1112,47,40.86,12,95,
ID,9,8.88,,18,,,,,,,,,
NETL,9.5,14.15,,45,,,,,,,,,
NNSA,6,71.38,1,534,90,254.28,,1520,,,,,
NRLFO,15.5,13,3,20,,,,,,,,,
ORO,13,23.75,,463,46,120.87,14,431,25,25,25,25,
OSTI,6.5,14.14,1,112,,,,,,,,,
ROO,12,17.85,,171,,,,,37,32,9,50,
SEPA,4,5.4,2,9,,,,,,,,,
SPR,11,12,,26,,,,,10,10,10,10,
SRO,12,40.15,,455,,,,,,,,,
SWPA,13,15.78,2,40,,,,,20,20,20,20,
WAPA,7,7,1,18,,,,,,,,,
Total,11,33,0,950,58,185,0,1520,23,32,9,95,
