Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BPA,5,9.91,,76,20.5,40.27,,302,,,,,
CH,3,5.98,,65,20,41.08,,321,,,,,
EMCBC,16,35.02,,188,4,26.4,,89,46,46,46,46,
GFO,,6.57,,103,,,,,,,,,
HQ,14,33.04,,336,110,248.95,2,2043,30,62.67,11,195,
ID,8,9.11,,23,,,,,4,4,4,4,
NETL,4,18.86,,217,,,,,,,,,
NNSA,5,4.89,,14,38,121.78,,1556,,,,,
NRLFO,23.5,39.12,11,140,,,,,,,,,
ORO,13,23.25,,291,50.5,99.83,4,478,,,,,
OSTI,10.5,11,,23,,,,,,,,,
ROO,11,13.86,,121,,,,,21.5,21.5,10,33,
SEPA,2,2.2,,5,,,,,,,,,
SPR,3,3,3,3,,,,,8,8,8,8,
SRO,13.5,16.5,,76,,,,,,,,,
SWPA,10,10.57,3,20,,,,,,,,,
WAPA,7,7,,21,,,,,,,,,
Total,9,22,0,336,49,165,0,2043,19,40,0,195,
