Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AMS,18,17,1,83,39,50,10,304,0,0,0,0,
APHIS,20,49.16,,729,320,350.06,,1027,19,38.67,3,94,
ASCR,9.5,11.68,,37,32,32,32,32,0,0,0,0,
DM,20,33,1,103,,,,,,,,0,
FAS,11,11.5,0.1,31,20,38.2,19,69,0,0,0,0,
FNCS,17,25.88,1,361,28.5,33.5,6,86,,,65,65,
FS,15,23.92,0,590,25.5,45.25,0,352,3,6.14,1,24,
FSA,1,1,0,165,2,16,0,347,2,2,1,5,
FSIS,30,60,1,543,167,229.96,0,848,0,0,0,0,
GIPSA,8,12,1,52,74,60,14,91,0,0,0,0,
NAD,7,8,1,17,,,,,,,,,
NRCS,15,12,1,20,20,22,1,55,0,0,0,0,
OBPA,1,0.83,0,5,7,0.332,7,15,,,,,
OCFO,6,7,1,27,31,31,31,31,,,,,
OGC,6,64,0,969,,,,,,,,,
OIG,16,22,2,305,20,47,1,489,0,0,0,0,
OSEC/OCIO,10,11.5,1,28,29,50.6,4,242,8,8.3,2,15,
RD,,,,,13,60,3,364,,,,,
REE,0,0,0,0,13,13,1,45,17,17.5,17,18,
RMA,12,14,1,51,31,59,5,470,,,,,
Total,11,19,0,969,23,57,0,1027,0,4,0,94,
