Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
HQ,18,46.88,0,1364,72,296.56,11,1329,0,0,0,0,
Region 1,16,17.72,0,219,37,47.91,19,184,0,0,0,0,
Region 2,88,99.7,1,725,52.5,92.25,32,242,64.5,64.5,37,92,
Region 3,21,20.11,0,96,34,40.56,12,138,0,0,0,0,
Region 4,14,14.34,0,79,30,32.01,7,116,20,20,20,20,
Region 5,17,17.12,0,107,62.5,78.8,29,244,55,55,55,55,
Region 6,22,32.44,0,283,72,114.96,23,823,0,0,0,0,
Region 7,15,20.64,0,840,77,114,32,233,0,0,0,0,
Region 8,11,18.05,0,883,55,144.11,30,404,0,0,0,0,
Region 9,21,21.93,0,110,51,50.86,26,84,0,0,0,0,
Region 10,16.5,23.99,0,412,59,65.81,7,157,0,0,0,0,
Total,20,43,0,1364,37,61,7,1329,46,51,20,92,
